Descripción del servicio,ID de servicio,Costo ($),Descuentos ($),Promociones y otros productos ($),Subtotal sin redondear ($),Subtotal ($),Cambio porcentual en el subtotal en comparación con el período anterior,start_date,end_date
Cloud Composer,1992-3666-B975,81.59,0.0,0.0,81.594894,81.59,0%,2024-12-30,2025-01-05
Compute Engine,6F81-5844-456A,67.75,0.0,0.0,67.751694,67.75,0%,2024-12-30,2025-01-05
Kubernetes Engine,CCD8-9BF1-090E,15.62,0.0,0.0,15.623857,15.62,0%,2024-12-30,2025-01-05
Cloud Monitoring,58CD-E7C3-72CA,5.97,0.0,0.0,5.966409,5.97,-27%,2024-12-30,2025-01-05
Networking,E505-1604-58F8,7.37,-1.41,0.0,5.957025,5.96,0%,2024-12-30,2025-01-05
BigQuery,24E6-581D-38E5,1.85,0.0,0.0,1.854283,1.85,58%,2024-12-30,2025-01-05
Cloud Logging,5490-F7B7-8DF6,1.63,0.0,0.0,1.634946,1.63,366%,2024-12-30,2025-01-05
Notebooks,D73B-5EEA-8215,0.92,0.0,0.0,0.923854,0.92,0%,2024-12-30,2025-01-05
Cloud Storage,95FF-2EF5-5EA1,0.81,0.0,0.0,0.807404,0.81,-1%,2024-12-30,2025-01-05
Cloud Run,152E-C115-5142,2.21,-1.58,0.0,0.625511,0.63,-71%,2024-12-30,2025-01-05
Artifact Registry,149C-F9EC-3994,0.16,0.0,0.0,0.16363,0.16,7%,2024-12-30,2025-01-05
Vertex AI,C7E2-9256-1C43,0.08,0.0,0.0,0.083928,0.08,0%,2024-12-30,2025-01-05
Cloud Composer,1992-3666-B975,81.59,0.0,0.0,81.593991,81.59,0%,2025-01-06,2025-01-12
Compute Engine,6F81-5844-456A,67.95,0.0,0.0,67.953252,67.95,0%,2025-01-06,2025-01-12
Kubernetes Engine,CCD8-9BF1-090E,15.62,0.0,0.0,15.623833,15.62,0%,2025-01-06,2025-01-12
Cloud Monitoring,58CD-E7C3-72CA,8.15,0.0,0.0,8.154089,8.15,37%,2025-01-06,2025-01-12
Networking,E505-1604-58F8,7.36,-1.41,0.0,5.952722,5.95,0%,2025-01-06,2025-01-12
BigQuery,24E6-581D-38E5,1.56,0.0,0.0,1.560496,1.56,-16%,2025-01-06,2025-01-12
Notebooks,D73B-5EEA-8215,0.92,0.0,0.0,0.923824,0.92,0%,2025-01-06,2025-01-12
Cloud Storage,95FF-2EF5-5EA1,0.8,0.0,0.0,0.796239,0.8,-1%,2025-01-06,2025-01-12
Cloud Run,152E-C115-5142,2.22,-1.91,0.0,0.314181,0.31,-51%,2025-01-06,2025-01-12
Artifact Registry,149C-F9EC-3994,0.18,0.0,0.0,0.176062,0.18,13%,2025-01-06,2025-01-12
Vertex AI,C7E2-9256-1C43,0.08,0.0,0.0,0.083904,0.08,0%,2025-01-06,2025-01-12
Cloud Composer,1992-3666-B975,81.59,0.0,0.0,81.593083,81.59,0%,2025-01-13,2025-01-19
Compute Engine,6F81-5844-456A,67.92,0.0,0.0,67.915729,67.92,0%,2025-01-13,2025-01-19
Kubernetes Engine,CCD8-9BF1-090E,15.62,0.0,0.0,15.623861,15.62,0%,2025-01-13,2025-01-19
Cloud Monitoring,58CD-E7C3-72CA,8.15,0.0,0.0,8.154856,8.15,0%,2025-01-13,2025-01-19
Networking,E505-1604-58F8,7.36,-1.41,0.0,5.950144,5.95,0%,2025-01-13,2025-01-19
BigQuery,24E6-581D-38E5,1.49,0.0,0.0,1.493633,1.49,-4%,2025-01-13,2025-01-19
Notebooks,D73B-5EEA-8215,0.92,0.0,0.0,0.923851,0.92,0%,2025-01-13,2025-01-19
Cloud Storage,95FF-2EF5-5EA1,0.8,0.0,0.0,0.803427,0.8,0%,2025-01-13,2025-01-19
Cloud Run,152E-C115-5142,2.52,-1.72,0.0,0.794521,0.79,155%,2025-01-13,2025-01-19
Artifact Registry,149C-F9EC-3994,0.2,0.0,0.0,0.19633,0.2,11%,2025-01-13,2025-01-19
Vertex AI,C7E2-9256-1C43,0.08,0.0,0.0,0.083919,0.08,0%,2025-01-13,2025-01-19
Cloud Composer,1992-3666-B975,81.6,0.0,0.0,81.595266,81.6,0%,2025-01-20,2025-01-26
Compute Engine,6F81-5844-456A,67.95,0.0,0.0,67.949337,67.95,0%,2025-01-20,2025-01-26
Kubernetes Engine,CCD8-9BF1-090E,15.62,0.0,0.0,15.623862,15.62,0%,2025-01-20,2025-01-26
Cloud Monitoring,58CD-E7C3-72CA,8.15,0.0,0.0,8.154762,8.15,0%,2025-01-20,2025-01-26
